spec	Fold_0
nist_1102013	train
nist_1102031	train
nist_1102044	train
nist_1102050	train
nist_1102063	train
nist_1102068	train
nist_1102071	train
nist_1102083	train
nist_1102088	train
nist_1102123	train
nist_1102135	train
nist_1102139	train
nist_1102146	train
nist_1102159	train
nist_1102179	train
nist_1102193	train
nist_1102195	train
nist_1102208	train
nist_1102214	train
nist_1102220	train
nist_1102232	test
nist_1102246	train
nist_1102259	train
nist_1102271	train
nist_1102283	train
nist_1102286	val
nist_1102313	train
nist_1102332	train
nist_1102337	train
nist_1102344	train
nist_1102359	train
nist_1102372	train
nist_1102378	train
nist_1102393	train
nist_1102408	train
nist_1102423	val
nist_1102452	train
nist_1127505	train
nist_1127559	train
nist_1127593	train
nist_1127614	train
nist_1127634	train
nist_1127654	train
nist_1127691	train
nist_1127748	train
nist_1127770	train
nist_1127826	train
nist_1127841	train
nist_1127910	train
nist_1127928	val
nist_1127980	train
nist_1128073	train
nist_1128107	train
nist_1128176	train
nist_1128197	train
nist_1128230	train
nist_1128250	train
nist_1128281	train
nist_1128381	val
nist_1128401	val
nist_1128490	train
nist_1128509	train
nist_1128525	train
nist_1128585	train
nist_1128638	train
nist_1128650	train
nist_1128663	train
nist_1128696	train
nist_1128713	train
nist_1128780	train
nist_1128872	train
nist_1128891	train
nist_1128913	train
nist_1128931	train
nist_1128982	val
nist_1129041	train
nist_1129066	train
nist_1129084	train
nist_1129105	train
nist_1129114	train
nist_1129164	val
nist_1129177	val
nist_1129213	train
nist_1129238	val
nist_1129265	val
nist_1129282	train
nist_1129301	train
nist_1129359	train
nist_1129377	train
nist_1129386	train
nist_1129446	test
nist_1129473	test
nist_1129508	train
nist_1129613	val
nist_1129624	val
nist_1129733	train
nist_1129752	train
nist_1129820	train
nist_1129863	test
nist_1129881	train
nist_1129924	train
nist_1130003	test
nist_1130136	test
nist_1130323	train
nist_1130345	train
nist_1130451	train
nist_1130471	train
nist_1130552	train
nist_1130574	train
nist_1130665	train
nist_1130720	train
nist_1130791	train
nist_1130804	train
nist_1130894	val
nist_1130941	val
nist_1131005	train
nist_1131070	train
nist_1131090	train
nist_1131211	train
nist_1131267	train
nist_1131287	train
nist_1131337	train
nist_1131369	train
nist_1131392	train
nist_1131413	train
nist_1131501	train
nist_1131523	train
nist_1131629	train
nist_1131650	train
nist_1131666	train
nist_1131686	train
nist_1131699	test
nist_1131723	test
nist_1131739	train
nist_1131779	train
nist_1131797	val
nist_1131820	train
nist_1131879	train
nist_1131900	train
nist_1131970	train
nist_1131997	train
nist_1132018	train
nist_1132101	train
nist_1132161	train
nist_1132222	train
nist_1132337	train
nist_1132383	train
nist_1132438	train
nist_1132495	test
nist_1132549	train
nist_1132581	train
nist_1132659	train
nist_1132683	train
nist_1132728	train
nist_1132749	train
nist_1132753	val
nist_1132777	val
nist_1132830	val
nist_1132851	train
nist_1132871	train
nist_1132880	train
nist_1132898	train
nist_1132909	train
nist_1132935	train
nist_1132959	train
nist_1132997	train
nist_1133018	train
nist_1133053	train
nist_1133076	train
nist_1133111	test
nist_1133133	test
nist_1133183	train
nist_1133224	train
nist_1133229	train
nist_1133250	train
nist_1133297	train
nist_1133298	train
nist_1133318	train
nist_1133361	train
nist_1133383	train
nist_1133434	train
nist_1133468	train
nist_1133487	train
nist_1133505	train
nist_1133538	val
nist_1133585	train
nist_1133604	train
nist_1133619	test
nist_1133642	val
nist_1133666	val
nist_1133686	train
nist_1133711	train
nist_1133750	train
nist_1133766	train
nist_1133777	val
nist_1133814	val
nist_1133851	train
nist_1133874	train
nist_1133935	val
nist_1133959	val
nist_1134011	train
nist_1134026	train
nist_1134039	train
nist_1134059	train
nist_1134075	train
nist_1134095	train
nist_1134121	test
nist_1134135	train
nist_1134199	train
nist_1134247	train
nist_1134298	train
nist_1134353	val
nist_1134376	val
nist_1134400	train
nist_1134422	train
nist_1134442	train
nist_1134516	train
nist_1134536	train
nist_1134560	test
nist_1134609	train
nist_1134631	train
nist_1134675	train
nist_1134696	train
nist_1134780	train
nist_1134807	train
nist_1134868	train
nist_1134903	train
nist_1134943	train
nist_1134998	train
nist_1135048	test
nist_1135072	test
nist_1135117	val
nist_1135138	val
nist_1135151	train
nist_1135173	train
nist_1135193	train
nist_1135202	train
nist_1135223	train
nist_1135232	train
nist_1135253	train
nist_1135294	train
nist_1135355	test
nist_1135378	test
nist_1135420	train
nist_1135486	train
nist_1135506	train
nist_1135558	test
nist_1135576	test
nist_1135609	train
nist_1135660	train
nist_1135710	train
nist_1135747	train
nist_1135798	train
nist_1135850	train
nist_1135887	train
nist_1135928	train
nist_1135969	train
nist_1136006	train
nist_1136026	train
nist_1136046	train
nist_1136071	train
nist_1136107	train
nist_1136145	val
nist_1136186	train
nist_1136223	train
nist_1136275	train
nist_1136296	train
nist_1136343	train
nist_1136391	train
nist_1136444	train
nist_1136497	val
nist_1136554	train
nist_1136576	train
nist_1136598	val
nist_1136657	test
nist_1136677	test
nist_1136690	train
nist_1136713	train
nist_1136753	test
nist_1136807	train
nist_1136858	train
nist_1136916	train
nist_1136942	train
nist_1136987	train
nist_1137041	train
