dataset	spec	name	formula	ionization	smiles	inchikey
nist2020	nist_1786352	Ethyl 4-{[(benzoylamino)carbothioyl]amino}benzoate	C17H16N2O3S	[M+Na]+	CCOC(=O)c1ccc(NC(=S)NC(=O)c2ccccc2)cc1	UGLKNRLHRREZKD-UHFFFAOYSA-N
nist2020	nist_3075869	5,7-Dihydroxy-2-(4-hydroxy-3-methoxyphenyl)-3,6-dimethoxychromone	C18H16O8	[M+H]+	COc1cc(-c2oc3cc(O)c(OC)c(O)c3c(=O)c2OC)ccc1O	XUWTZJRCCPNNJR-UHFFFAOYSA-N
nist2020	nist_1492611	.beta.-D-Glucopyranosiduronic acid, (17.beta.)-17-(acetyloxy)estra-1,3,5(10)-trien-3-yl, methyl ester, triacetate	C33H42O12	[M+NH4]+	COC(=O)[C@H]1O[C@@H](Oc2ccc3c(c2)CC[C@@H]2[C@@H]3CC[C@]3(C)[C@@H](OC(C)=O)CC[C@@H]23)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O	RWNQOWSIOCGYAE-LXNJTFBUSA-N
nist2020	nist_1814178	5-(4-Carboxy-3-methylbutyl)-5,6,8a-trimethyl-3-oxo-3,4,4a,5,6,7,8,8a-octahydronaphthalene-1-carboxylic acid	C20H30O5	[M+H-2H2O]+	CC(CCC1(C)C(C)CCC2(C)C(C(=O)O)=CC(=O)CC21)CC(=O)O	XKXZAYIPFRBKHT-UHFFFAOYSA-N
nist2020	nist_1521061	Bicyclo[2.2.1]heptan-2-one, 1,7,7-trimethyl-, (1R,4R)-	C10H16O	[M+H-H2O]+	CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2	DSSYKIVIOFKYAU-XCBNKYQSSA-N
nist2020	nist_1973328	Acetic acid, 2-[[3-cyano-4-(4-methoxyphenyl)-6-phenyl-2-pyridinyl]thio]-	C21H16N2O3S	[M+H-H2O]+	COc1ccc(-c2cc(-c3ccccc3)nc(SCC(=O)O)c2C#N)cc1	LBQWBYYTMGYKKS-UHFFFAOYSA-N
nist2020	nist_1340176	Acetic acid, 2-acetylhydrazide	C4H8N2O2	[M+H]+	CC(=O)NNC(C)=O	ZLHNYIHIHQEHJQ-UHFFFAOYSA-N
nist2020	nist_1874917	2-[[(4-Methoxyphenyl)methyl]thio]acetic acid	C10H12O3S	[M+Na]+	COc1ccc(CSCC(=O)O)cc1	SDNBUZXAGNJNBL-UHFFFAOYSA-N
nist2020	nist_3069255	2-(4,6-Dihydroxy-1-oxo-5-((2E,6E)-3,7,11-trimethyldodeca-2,6,10-trien-1-yl)-1,3-dihydro-2H-isoindol-2-yl)pentanedioic acid	C28H37NO7	[M+H]+	CC(C)=CCC/C(C)=C/CC/C(C)=C/Cc1c(O)cc2c(c1O)CN(C(CCC(=O)O)C(=O)O)C2=O	LTEYADKCUWEHSA-ZYCAGONGSA-N
nist2020	nist_1218678	2-[(1-Oxo-5Z,8Z,11Z,14Z-eicosatetraenyl)amino]ethanesulfonic acid	C22H37NO4S	[M+Na]+	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCS(=O)(=O)O	YUNYSWCRLRYOPO-DOFZRALJSA-N
nist2020	nist_1859048	2-[2-(4-Methylphenyl)sulfonyloxyethoxy]ethyl 4-methylphenylsulfonate	C18H22O7S2	[M+H]+	Cc1ccc(S(=O)(=O)OCCOCCOS(=O)(=O)c2ccc(C)cc2)cc1	VYVPNTJBGPQTFA-UHFFFAOYSA-N
nist2020	nist_3131729	2-Piperidinecarboxylic acid, 1-[(4-bromophenyl)sulfonyl]-	C12H14BrNO4S	[M+H]+	O=C(O)C1CCCCN1S(=O)(=O)c1ccc(Br)cc1	BFYXCFKAZNUOEO-UHFFFAOYSA-N
nist2020	nist_1625185	11-Octadecenoic acid, (11Z)-	C18H34O2	[M+H-H2O]+	CCCCCC/C=C\CCCCCCCCCC(=O)O	UWHZIFQPPBDJPM-FPLPWBNLSA-N
nist2020	nist_3457304	Benzoic acid, 3,5-dibromo-2,4-dihydroxy-, methyl ester	C8H6Br2O4	[M+H]+	COC(=O)c1cc(Br)c(O)c(Br)c1O	QRNWLIBAWZHZNY-UHFFFAOYSA-N
nist2020	nist_1864102	4-[(4-Fluorophenyl)amino]-4-oxobutanoic acid	C10H10FNO3	[M+H]+	O=C(O)CCC(=O)Nc1ccc(F)cc1	NAPJELQHRKGMDD-UHFFFAOYSA-N
